match_key,match_id,n_players
2012-10-17|Poland|England,2262060.0,22
2012-11-14|Northern Ireland|Azerbaijan,2262623.0,22
2013-03-22|Bosnia and Herzegovina|Greece,2261868.0,22
2013-03-22|Austria|Faroe Islands,2261125.0,22
2013-03-22|Croatia|Serbia,2261881.0,22
2013-03-22|Kazakhstan|Germany,2261123.0,22
2013-03-22|France|Georgia,2262033.0,22
2013-03-22|Hungary|Romania,2262099.0,22
2013-03-22|Israel|Portugal,2262624.0,22
2013-03-22|Czechia|Denmark,2262587.0,22
2013-03-22|Scotland|Wales,2261469.0,22
2013-03-22|Norway|Albania,2261097.0,22
2013-03-22|Poland|Ukraine,2262068.0,22
2013-03-22|Netherlands|Estonia,2262100.0,22
2013-03-22|San Marino|England,2262067.0,22
2013-03-22|North Macedonia|Belgium,2261882.0,22
2013-03-22|Slovakia|Lithuania,2262668.0,22
2013-03-22|Slovenia|Iceland,2261099.0,22
2013-03-22|Spain|Finland,2262034.0,22
2013-03-22|Sweden|Republic of Ireland,2261124.0,22
2013-03-23|Cyprus|Switzerland,2261102.0,22
2013-03-26|Armenia|Czechia,2262590.0,22
2013-03-26|Azerbaijan|Portugal,2262627.0,22
2013-03-26|Belgium|North Macedonia,2261884.0,22
2013-03-26|France|Spain,2262035.0,22
2013-03-26|Denmark|Bulgaria,2262591.0,22
2013-03-26|Republic of Ireland|Austria,2261126.0,22
2013-03-26|Germany|Kazakhstan,2261127.0,22
2013-03-26|Malta|Italy,2262589.0,22
2013-03-26|Montenegro|England,2262070.0,22
2013-03-26|Netherlands|Romania,2262102.0,22
2013-03-26|Wales|Croatia,2261883.0,22
2013-03-26|Northern Ireland|Israel,2262628.0,22
2013-03-26|Serbia|Scotland,2261470.0,22
2013-03-26|Poland|San Marino,2262072.0,22
2013-03-26|Ukraine|Moldova,2262071.0,22
2013-06-07|Finland|Belarus,2262036.0,22
2013-06-07|Czechia|Italy,2262593.0,22
2013-06-07|Croatia|Scotland,2261471.0,22
2013-06-07|Albania|Norway,2261100.0,22
2013-06-07|Republic of Ireland|Faroe Islands,2261129.0,22
2013-06-07|Belgium|Serbia,2261885.0,22
2013-06-07|Iceland|Slovenia,2319402.0,22
2013-06-07|Austria|Sweden,2261128.0,22
2013-06-07|Portugal|Russia,2262629.0,22
2013-06-07|Moldova|Poland,2262074.0,22
2013-06-07|Lithuania|Greece,2261870.0,22
2013-06-07|Liechtenstein|Slovakia,2262669.0,22
2013-06-07|Latvia|Bosnia and Herzegovina,2262670.0,22
2013-06-07|Montenegro|Ukraine,2262073.0,22
2013-06-08|Switzerland|Cyprus,2261098.0,22
2013-06-11|Denmark|Armenia,2262594.0,22
2013-06-11|Belarus|Finland,2262037.0,22
2013-06-11|Sweden|Faroe Islands,2261130.0,22
2013-08-14|Northern Ireland|Russia,2262625.0,22
2013-09-06|England|Moldova,2262076.0,22
2013-09-06|Bosnia and Herzegovina|Slovakia,2262671.0,22
2013-09-06|Czechia|Armenia,2262597.0,22
2013-09-06|Georgia|France,2262038.0,22
2013-09-06|Germany|Austria,2261132.0,22
2013-09-06|Republic of Ireland|Sweden,2261131.0,22
2013-09-06|Italy|Bulgaria,2262596.0,22
2013-09-06|Estonia|Netherlands,2262656.0,22
2013-09-06|Finland|Spain,2262039.0,22
2013-09-06|Slovenia|Albania,2261103.0,22
2013-09-06|Liechtenstein|Greece,2261871.0,22
2013-09-06|North Macedonia|Wales,2261886.0,22
2013-09-06|Malta|Denmark,2262595.0,22
2013-09-06|Northern Ireland|Portugal,2262631.0,22
